Rank,Title,Avg. Imdb Rating,List of Lists Score
641,Kes,7.8,1
642,Invasion of the Body Snatchers,7.8,1
643,How Green Was My Valley,7.8,1
644,Happiness,7.8,1
645,Hôtel Terminus,7.8,1
646,Guess Who's Coming to Dinner,7.8,1
647,Gravity,7.8,1
648,Glengarry Glen Ross,7.8,1
649,Gilda,7.8,1
650,Ghostbusters,7.8,1
651,Fox and His Friends,7.8,1
652,Footlight Parade,7.8,1
653,Fantastic Planet,7.8,1
654,F for Fake,7.8,1
655,Eyes Without a Face,7.8,1
656,Evil Dead II,7.8,1
657,El Norte,7.8,1
658,Drive,7.8,1
659,Down by Law,7.8,1
660,Dirty Harry,7.8,1
661,Closely Watched Trains,7.8,1
662,Christ Stopped at Eboli,7.8,1
663,Celine and Julie Go Boating,7.8,1
664,Captain Blood,7.8,1
665,Cairo Station,7.8,1
666,Breakfast at Tiffany's,7.8,1
667,Boyz n the Hood,7.8,1
668,Bob le Flambeur,7.8,1
669,Blue Velvet,7.8,1
670,Blue Is the Warmest Color,7.8,1
671,Blazing Saddles,7.8,1
672,Birdman or (The Unexpected Virtue of Ignorance),7.8,1
673,Belle de Jour,7.8,1
674,Bad Day at Black Rock,7.8,1
675,Atonement,7.8,1
676,Apocalypto,7.8,1
677,All That Jazz,7.8,1
678,A Star Is Born,7.8,1
679,A Day in the Country,7.8,1
680,Scarface: The Shame of a Nation,7.8,1
681,Winchester '73,7.7,1
682,Who Framed Roger Rabbit,7.7,1
683,Where Eagles Dare,7.7,1
684,Walkabout,7.7,1
685,True Grit,7.7,1
686,The Wedding Banquet,7.7,1
687,The Theory of Everything,7.7,1
688,The Sweet Hereafter,7.7,1
689,The Story of a Cheat,7.7,1
690,The Social Network,7.7,1
691,The Snake Pit,7.7,1
692,The Public Enemy,7.7,1
693,The Phantom of the Opera,7.7,1
694,The Palm Beach Story,7.7,1
695,The Muppet Movie,7.7,1
696,The Long Goodbye,7.7,1
697,The Long Good Friday,7.7,1
698,The Lavender Hill Mob,7.7,1
699,The Last King of Scotland,7.7,1
700,The Lady from Shanghai,7.7,1
701,The Incredible Shrinking Man,7.7,1
702,The Great Beauty,7.7,1
703,The Golden Thread,7.7,1
704,The Firemen's Ball,7.7,1
705,The Docks of New York,7.7,1
706,The Defiant Ones,7.7,1
707,The Color of Pomegranates,7.7,1
708,The Blue Kite,7.7,1
709,The Birds,7.7,1
710,The Barbarian Invasions,7.7,1
711,Taste of Cherry,7.7,1
712,Sophie's Choice,7.7,1
713,Short Cuts,7.7,1
714,Shine,7.7,1
715,Senso,7.7,1
716,Seconds,7.7,1
717,Saturday Night and Sunday Morning,7.7,1
718,Red Desert,7.7,1
719,Philadelphia,7.7,1
720,Passenger,7.7,1
721,Only Angels Have Wings,7.7,1
722,Nebraska,7.7,1
723,Moolaadé,7.7,1
724,Meet Me in St. Louis,7.7,1
725,McCabe & Mrs. Miller,7.7,1
726,Masculin Féminin,7.7,1
727,Marty,7.7,1
728,Lolita,7.7,1
729,Lola,7.7,1
730,Little Big Man,7.7,1
731,La Chienne,7.7,1
732,Kiss Me Deadly,7.7,1
733,Juliet of the Spirits,7.7,1
734,Johnny Guitar,7.7,1
735,"Ivan the Terrible, Part II",7.7,1
736,In the Year of the Pig,7.7,1
737,If....,7.7,1
738,Hour of the Wolf,7.7,1
739,High School,7.7,1
740,Happy Together,7.7,1
741,Häxan: Witchcraft Through the Ages,7.7,1
742,Gun Crazy,7.7,1
743,Good Bye Lenin!,7.7,1
744,Forbidden Planet,7.7,1
745,Faces,7.7,1
746,Europa Europa,7.7,1
747,Enter the Dragon,7.7,1
748,Distant,7.7,1
749,Destry Rides Again,7.7,1
750,Delicatessen,7.7,1
751,Dead of Night,7.7,1
752,Dead Man,7.7,1
753,Dazed and Confused,7.7,1
754,Dangerous Liaisons,7.7,1
755,Center Stage,7.7,1
756,Brokeback Mountain,7.7,1
757,Breaking Away,7.7,1
758,Blow-Up,7.7,1
759,Argo,7.7,1
760,A Very Long Engagement,7.7,1
761,A Hard Day's Night,7.7,1
762,'I Know Where I'm Going!',7.7,1
763,À Nous la Liberté,7.7,1
764,1900,7.7,1
765,42nd Street,7.7,1
766,Women on the Verge of a Nervous Breakdown,7.6,1
767,Wild Reeds,7.6,1
768,Wadjda,7.6,1
769,Volver,7.6,1
770,United 93,7.6,1
771,Tristana,7.6,1
772,Traffic,7.6,1
773,The Young One,7.6,1
774,The Young Girls of Rochefort,7.6,1
775,The Wind Will Carry Us,7.6,1
776,The Wheel,7.6,1
777,The Tin Drum,7.6,1
778,The Royal Tenenbaums,7.6,1
779,The Player,7.6,1
780,The Piano,7.6,1
781,The Naked Gun: From the Files of Police Squad!,7.6,1
782,The Kid Brother,7.6,1
783,The Jungle Book,7.6,1
784,The Hurt Locker,7.6,1
785,The Gleaners & I,7.6,1
786,The Garden of the Finzi-Continis,7.6,1
787,"The Cook, the Thief, His Wife & Her Lover",7.6,1
788,The Consequences of Love,7.6,1
789,The Band Wagon,7.6,1
790,The Baker's Wife,7.6,1
791,Tabu: A Story of the South Seas,7.6,1
792,Summer with Monika,7.6,1
793,Strike,7.6,1
794,Stranger Than Paradise,7.6,1
795,Story of Women,7.6,1
796,Spring in a Small Town,7.6,1
797,Spellbound,7.6,1
798,Shoot the Pianist,7.6,1
799,Picnic at Hanging Rock,7.6,1
800,On the Town,7.6,1
801,Nostalgia for the Light,7.6,1
802,Nosferatu the Vampyre,7.6,1
803,"Murder, My Sweet",7.6,1
804,Mrs. Miniver,7.6,1
805,Moulin Rouge!,7.6,1
806,Mother and Son,7.6,1
807,Monsieur Hulot's Holiday,7.6,1
808,Man of Iron,7.6,1
809,Man Bites Dog,7.6,1
810,Lone Star,7.6,1
811,Leviathan,7.6,1
812,Les Mis_©rables,7.6,1
813,Le Million,7.6,1
814,Le Boucher,7.6,1
815,Land Without Bread,7.6,1
816,La Vie en Rose,7.6,1
817,La Cérémonie,7.6,1
818,"Ivan the Terrible, Part I",7.6,1
819,High Sierra,7.6,1
820,High Plains Drifter,7.6,1
821,Funny Games,7.6,1
822,Europe '51,7.6,1
823,Collateral,7.6,1
824,Chronicle of a Summer,7.6,1
825,Camille,7.6,1
826,Broken Blossoms,7.6,1
827,Bigger Than Life,7.6,1
828,Batman,7.6,1
829,Barren Lives,7.6,1
830,Ariel,7.6,1
831,An American Werewolf in London,7.6,1
832,An Actor's Revenge,7.6,1
833,Adam's Rib,7.6,1
834,A Touch of Zen,7.6,1
835,A Tale of Winter,7.6,1
836,A Fish Called Wanda,7.6,1
837,A Chinese Ghost Story,7.6,1
838,Zero for Conduct,7.5,1
839,Written on the Wind,7.5,1
840,Viy,7.5,1
841,Trust,7.5,1
842,Triumph of the Will,7.5,1
843,Total Recall,7.5,1
844,Thirty Two Short Films About Glenn Gould,7.5,1
845,The Wrong Man,7.5,1
